"jag_1","jag_2","pair","overlap","encounters","proximity_low","proximity_est","proximity_high"
"Iranildo","Iemanja2","female_male",0.276233962654717,20,0.604584232051098,1.23752996700516,2.25945515538576
"Iranildo","ID696469B","male_male",0.048656703929058,0,0.402447988036458,0.678717382773401,1.07224707049507
"Iranildo","ID696490B","male_male",0.879626388540062,3,0.41520858357519,0.818417283289225,1.43462603040997
"Iranildo","ID717047B","female_male",0.0754077887846205,0,0.17721316192983,0.416068368388084,0.803587565111794
"Iemanja2","ID696469B","female_male",0.0766024903424005,0,0.564566918963836,1.18972212024467,2.08969296017286
"Iemanja2","ID696490B","female_male",0.190093667325871,0,0.793335432930728,1.87301288554443,3.55461789246568
"Iemanja2","ID717047B","female_female",0.105077278803842,0,0.455819415243624,0.862159841286463,1.46676700722323
"ID696469B","ID696490B","male_male",0.0160286866701526,0,0.580005583973005,0.86104391639552,1.22461181693775
"ID696469B","ID717047B","female_male",0.692466678312048,10,0.495783885164296,1.00624877855708,1.73196926577778
"ID696490B","ID717047B","female_male",0.0308871446038641,0,0.729930159776429,1.65271193199692,3.05980647739784
